rank,id,speaker,title
1,iG9CE55wbtY,Ken Robinson,Do Schools Kill Creativity?
2,Ks-_Mh1QhMc,Amy Cuddy,Your Body Language Shapes Who You Are
3,qp0HIF3SfI4,Simon Sinek,How Great Leaders Inspire Action
4,iCvmsMzlF7o,Brene Brown,The Power of Vulnerability
5,UyyjU8fzEYU,Jill Bolte Taylor,My Stroke of Insight
6,YrtANPtnhyg,Pranav Mistry,The Thrilling Potential of SixthSense Technology
7,7jx0dTYUO5E,Mary Roach,10 Things You Didn't Know About Orgasm
8,Cpc-t-Uwv1I,Tony Robbins,Why We Do What We Do
9,rrkrvAUbU9Y,Dan Pink,The Puzzle of Motivation
10,-Hi5muM44NE,David Gallo,Underwater Astonishments
